,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
524,43.99,-78.35,0.005,4.16,,6.95
2261,45.88,-66,0.005,4.21,,6.75
90,49.88,-96.63,0.005,4.62,,6.71
2712,49.2,-98.89,0.005,4.86,,6.96
3409,50.89,-114.08,0.005,4.81,,6.65
2286,52.08,-101.03,0.005,4.62,,6.35
1929,49.05,-76.98,0.005,4.26,,6.23
3725,45.36,-63.27,0.005,4,,6.51
1329,45.78,-65.16,0.005,3.8,,6.65
2979,49.41,-123.65,0.005,3.65,,5.82
15,50.74,-103.41,0.005,4.89,,6.76
1858,49.38,-102.75,0.005,5.02,,7.04
855,45.43,-63.45,0.005,4.03,,6.43
77,42.11,-83.04,0.005,4.43,,7.06
3481,45.09,-74.79,0.005,4.36,,6.89
3618,49.78,-112.15,0.005,4.93,,6.88
204,44.18,-76.77,0.005,4.18,,6.97
2348,50.14,-101.67,0.005,4.9,,6.81
1112,50.4,-105.5,0.005,4.34,,6.65
131,46.18,-79.27,0.005,4.24,,6.86
1782,50.83,-108.03,0.005,4.95,,6.51
3064,46.63,-70.96,0.005,4.15,,6.48
1582,50.08,-92.17,0.005,4.45,,6.48
1133,45.76,-64.18,0.005,4.21,,6.48
3895,52.12,-104.51,0.005,4.79,,6.5
681,56.25,-120.9,0.005,4.33,,5.92
1701,44.03,-65.84,0.005,4.38,,6.57
2152,49.83,-101.52,0.005,4.95,,6.91
3550,50.59,-107.8,0.005,4.95,,6.56
1612,50.94,-101.25,0.005,4.8,,6.62
774,49.95,-102.97,0.005,4.97,,7
3411,48.38,-123.73,0.005,3.85,,6.3
3516,53.83,-94.84,0.005,4.32,,5.91
3815,42.68,-80.79,0.005,4.2,,6.7
3476,49.67,-97.11,0.005,4.67,,6.74
2431,47.68,-79.43,0.005,4.27,,6.5
1932,53.94,-113.59,0.005,4.5,,5.9
4012,49.61,-117.56,0.005,4.06,,6.08
3119,46.56,-71.83,0.005,4.2,,6.69
2096,51.1,-96.3,0.005,4.53,,6.87
1302,43.79,-65.88,0.005,4.71,,6.69
2080,42.2,-82.88,0.005,4.41,,7.04
1472,49.29,-121.78,0.005,3.58,,5.69
2923,46,-67.51,0.005,4.13,,6.67
2370,44.41,-81.23,0.005,4.19,,6.56
3872,44.49,-80.01,0.005,4.2,,6.85
216,43.55,-81.69,0.005,4.22,,6.85
3644,47.02,-79.97,0.005,4.28,,6.83
1314,54.55,-94.47,0.005,4.27,,6.11
227,45.45,-79.58,0.005,3.8,,6.98
3057,46.46,-73.13,0.005,4.32,,6.77
1876,42.74,-80.57,0.005,4.19,,6.6
3384,51.45,-105.44,0.005,4.92,,6.38
3259,45.62,-60.77,0.005,4,,6.26
703,46.22,-63.26,0.005,3.97,,6.32
2645,45.4,-64.32,0.005,4.08,,6.61
682,45.67,-63.98,0.005,4.24,,6.54
428,45.25,-63.27,0.005,3.99,,6.52
361,48.05,-65.48,0.005,4.23,,6.3
3224,46.68,-70.45,0.005,4.09,,6.5
4009,50.03,-119.4,0.005,4.46,,6.45
3660,46.26,-83.55,0.005,4.27,,6.32
2607,43.9,-78.85,0.005,4.26,,6.86
3971,49.95,-95.97,0.005,4.61,,6.75
1954,45.08,-75.18,0.005,4.99,,6.86
2406,44.78,-63.14,0.005,3.89,,6.55
4083,49.98,-126.84,0.005,3.31,,5.36
3973,46.96,-65.73,0.005,4.31,,6.64
2675,48.78,-123.28,0.005,3.96,,6.5
3602,44.76,-79.9,0.005,3.43,,6.89
3206,46.68,-72.05,0.005,4.22,,6.61
3263,51.04,-102.16,0.005,4.82,,6.6
2960,45.74,-64.74,0.005,4.11,,6.6
3835,47.63,-52.94,0.005,3.44,,6.04
3923,45.08,-64.75,0.005,4.15,,6.47
194,47.15,-65.24,0.005,4.26,,6.65
2586,53.63,-113.36,0.005,4.14,,6.13
3143,46.85,-71.13,0.005,4.15,,6.58
29,49.26,-102.28,0.005,5.02,,6.97
1646,49.38,-115.3,0.005,4.51,,6.38
507,46.24,-61.24,0.005,4.23,,5.89
2985,50.38,-101.69,0.005,4.89,,6.94
2381,43.37,-81.27,0.005,4.18,,6.74
813,44.73,-76.6,0.005,4.57,,6.95
2509,46.31,-79.45,0.005,4.25,,6.76
1039,45.01,-75.23,0.005,4.6,,6.77
1331,43.49,-81.63,0.005,3.8,,6.59
3255,50.7,-119.26,0.005,4.1,,5.92
2301,55.6,-104.78,0.005,4.4,,6.28
2887,46.05,-73.71,0.005,4.34,,6.91
3860,53.17,-114.32,0.005,4.46,,6.05
3736,45.96,-64.88,0.005,4.15,,6.69
2419,42.8,-80.07,0.005,4.2,,6.82
3240,45.93,-70.48,0.005,4.15,,6.45
44,50.58,-126.92,0.005,3.45,,5.35
281,52.46,-114.05,0.005,4.56,,6.11
3810,43.99,-77.86,0.005,4.58,,6.97
3221,45.98,-73.45,0.005,4.21,,6.73
1862,52.19,-108.45,0.005,4.86,,6.49
3361,45.4,-71.9,0.005,3.79,,6.59
3386,50.47,-103.44,0.005,4.93,,6.64
3992,45.33,-65.81,0.005,4.11,,6.67
420,49.54,-113.74,0.005,4.7,,7.14
3650,48.8,-87.1,0.005,4.23,,6.8
2955,46.99,-53.48,0.005,3.36,,5.54
1598,43.28,-81.48,0.005,4.21,,6.61
4061,46.26,-72.83,0.005,4.32,,6.64
4054,44.65,-79.92,0.005,4.19,,6.9
158,49.19,-95.95,0.005,3.49,,6.97
2867,45.72,-61.35,0.005,4.23,,6.1
3752,45.84,-66.24,0.005,4.19,,6.81
555,53.6,-113.52,0.005,4.19,,6.14
1221,45.04,-76.05,0.005,4.4,,6.91
1542,46.25,-83.89,0.005,4.27,,6.76
2003,45.03,-74.89,0.005,4.36,,6.86
3599,47.87,-53.91,0.005,3.43,,5.68
1304,46.98,-65.37,0.005,4.71,,6.72
3802,46.21,-63.49,0.005,3.99,,5.98
1157,47.7,-52.73,0.005,3.42,,5.83
1107,45.78,-77.13,0.005,4.34,,6.81
175,50.25,-97.31,0.005,4.65,,6.61
3122,46.95,-69.93,0.005,4.17,,6.62
2405,53.4,-91.76,0.005,4.26,,6.19
2343,51.25,-80.6,0.005,4.19,,6.29
741,45.91,-65.78,0.005,4.23,,6.73
991,44.07,-65.77,0.005,3.96,,6.64
1549,53.23,-112.23,0.005,4.64,,6.12
203,46.51,-67.59,0.005,4.18,,6.35
1197,60,-111.88,0.005,4.13,,6.03
3744,46.57,-63.92,0.005,4.12,,6.59
2163,45.54,-75.41,0.005,4.37,,6.82
