Latitude,Longitude,Array Type,Market Pricing,Utility-scale Tariff Applied,First Yr Annual (MWh),Breakeven Price ($/MWh),Reference Price ($/MWh),Total Capacity (MW),Annual
51.64,-121.29,Commercial,Flat,,260.78,117.6,87.21,0.2,4.15
51.64,-121.29,Commercial,Time of use,,260.78,94.75,87.21,0.2,4.15
51.64,-121.29,Community,Flat,,260.78,111.69,87.21,0.2,4.15
51.64,-121.29,Community,Time of use,,260.78,89.98,87.21,0.2,4.15
51.64,-121.29,Residential,Flat,,6.33,152.62,97.75,0.005,4.15
51.64,-121.29,Residential,Time of use,,6.33,126.43,97.75,0.005,4.15
51.64,-121.29,Utility Fixed,Flat,No Tariff,65197.35,92.44,47.71,50,4.15
51.64,-121.29,Utility Fixed,Flat,Tariff,65197.35,119.11,47.71,50,4.15
51.64,-121.29,Utility Fixed,Time of use,No Tariff,65197.35,74.47,47.71,50,4.15
51.64,-121.29,Utility Fixed,Time of use,Tariff,65197.35,95.96,47.71,50,4.15
51.64,-121.29,Utility Tracker,Flat,No Tariff,79938.13,80.73,47.71,50,4.15
51.64,-121.29,Utility Tracker,Flat,Tariff,79938.13,102.46,47.71,50,4.15
51.64,-121.29,Utility Tracker,Time of use,No Tariff,79938.13,65.05,47.71,50,4.15
51.64,-121.29,Utility Tracker,Time of use,Tariff,79938.13,82.57,47.71,50,4.15
51.75,-121.35,Commercial,Flat,,264.93,115.76,87.21,0.2,4.14
51.75,-121.35,Commercial,Time of use,,264.93,93.29,87.21,0.2,4.14
51.75,-121.35,Community,Flat,,264.93,109.94,87.21,0.2,4.14
51.75,-121.35,Community,Time of use,,264.93,88.6,87.21,0.2,4.14
51.75,-121.35,Residential,Flat,,6.45,149.93,97.75,0.005,4.14
51.75,-121.35,Residential,Time of use,,6.45,125.07,97.75,0.005,4.14
51.75,-121.35,Utility Fixed,Flat,No Tariff,66233.61,91.06,47.71,50,4.14
51.75,-121.35,Utility Fixed,Flat,Tariff,66233.61,117.32,47.71,50,4.14
51.75,-121.35,Utility Fixed,Time of use,No Tariff,66233.61,73.39,47.71,50,4.14
51.75,-121.35,Utility Fixed,Time of use,Tariff,66233.61,94.55,47.71,50,4.14
51.75,-121.35,Utility Tracker,Flat,No Tariff,82063.39,78.74,47.71,50,4.14
51.75,-121.35,Utility Tracker,Flat,Tariff,82063.39,99.91,47.71,50,4.14
51.75,-121.35,Utility Tracker,Time of use,No Tariff,82063.39,63.49,47.71,50,4.14
51.75,-121.35,Utility Tracker,Time of use,Tariff,82063.39,80.56,47.71,50,4.14
51.3,-121.4,Commercial,Flat,,255.41,120.07,87.21,0.2,4.16
51.3,-121.4,Commercial,Time of use,,255.41,96.78,87.21,0.2,4.16
51.3,-121.4,Community,Flat,,255.41,114.03,87.21,0.2,4.16
51.3,-121.4,Community,Time of use,,255.41,91.92,87.21,0.2,4.16
