,Actual,Prediction,% Diff
3011,4.17,4.658888889,0.104936799
3012,4.17,4.658888889,0.104936799
1609,4.19,4.645555556,0.098062664
1610,4.19,4.645555556,0.098062664
1493,4.26,4.645555556,0.082994499
1494,4.26,4.645555556,0.082994499
3427,4.37,4.988888889,0.124053452
3428,4.37,4.988888889,0.124053452
429,4.53,4.662222222,0.028360343
430,4.53,4.662222222,0.028360343
233,4.63,4.645555556,0.003348481
234,4.63,4.645555556,0.003348481
235,4.63,4.645555556,0.003348481
236,4.63,4.645555556,0.003348481
3547,4.64,4.661111111,0.004529201
3548,4.64,4.661111111,0.004529201
3177,4.66,4.612222222,0.01035895
3178,4.66,4.612222222,0.01035895
1747,4.7,5.198888889,0.095960675
1748,4.7,5.198888889,0.095960675
1485,4.72,4.645555556,0.016024874
1486,4.72,4.645555556,0.016024874
2693,4.73,4.661111111,0.014779499
2694,4.73,4.661111111,0.014779499
3405,4.84,5.423333333,0.107559926
3406,4.84,5.423333333,0.107559926
3293,4.88,4.645555556,0.050466396
3294,4.88,4.645555556,0.050466396
823,4.91,5.056666667,0.029004614
824,4.91,5.056666667,0.029004614
799,4.94,4.798888889,0.029404955
800,4.94,4.798888889,0.029404955
3209,4.95,4.96,0.002016129
3210,4.95,4.96,0.002016129
281,4.96,5.093333333,0.02617801
282,4.96,5.093333333,0.02617801
3851,4.96,4.992222222,0.006454485
3852,4.96,4.992222222,0.006454485
1473,5.03,5.285555556,0.0483498
1474,5.03,5.285555556,0.0483498
735,5.06,4.898888889,0.032887276
736,5.06,4.898888889,0.032887276
959,5.06,5.457777778,0.072882736
960,5.06,5.457777778,0.072882736
2647,5.06,5.457777778,0.072882736
2648,5.06,5.457777778,0.072882736
1643,5.1,5.285555556,0.035106159
1644,5.1,5.285555556,0.035106159
3963,5.12,5.657777778,0.09505106
3964,5.12,5.657777778,0.09505106
2453,5.13,4.661111111,0.100595948
2454,5.13,4.661111111,0.100595948
1905,5.16,5.495555556,0.061059442
1906,5.16,5.495555556,0.061059442
923,5.19,5.495555556,0.055600485
924,5.19,5.495555556,0.055600485
1529,5.2,5.803333333,0.10396324
1530,5.2,5.803333333,0.10396324
1501,5.22,5.285555556,0.012402775
1502,5.22,5.285555556,0.012402775
2515,5.22,5.177777778,0.008154506
2516,5.22,5.177777778,0.008154506
3159,5.22,5.572222222,0.063210369
3160,5.22,5.572222222,0.063210369
3813,5.22,5.617777778,0.070806962
3814,5.22,5.617777778,0.070806962
1543,5.23,5.386666667,0.029084158
1544,5.23,5.386666667,0.029084158
2723,5.23,5.285555556,0.010510826
2724,5.23,5.285555556,0.010510826
1523,5.24,5.285555556,0.008618877
1524,5.24,5.285555556,0.008618877
3355,5.26,5.875555556,0.104765507
3356,5.26,5.875555556,0.104765507
451,5.27,5.476666667,0.037735849
452,5.27,5.476666667,0.037735849
867,5.27,5.534444444,0.04778157
868,5.27,5.534444444,0.04778157
913,5.27,5.373333333,0.019230769
914,5.27,5.373333333,0.019230769
3039,5.28,5.602222222,0.057516858
3040,5.28,5.602222222,0.057516858
1567,5.29,5.321111111,0.005846732
1568,5.29,5.321111111,0.005846732
1695,5.3,5.36,0.01119403
1696,5.3,5.36,0.01119403
289,5.34,5.924444444,0.098649662
290,5.34,5.924444444,0.098649662
1475,5.35,5.386666667,0.006806931
1476,5.35,5.386666667,0.006806931
4079,5.36,5.572222222,0.038085743
4080,5.36,5.572222222,0.038085743
315,5.37,5.416666667,0.008615385
316,5.37,5.416666667,0.008615385
2709,5.37,5.244444444,0.023940678
2710,5.37,5.244444444,0.023940678
219,5.38,5.446666667,0.012239902
220,5.38,5.446666667,0.012239902
2509,5.39,5.785555556,0.068369503
2510,5.39,5.785555556,0.068369503
39,5.4,5.863333333,0.079022172
40,5.4,5.863333333,0.079022172
2907,5.4,5.677777778,0.048923679
2908,5.4,5.677777778,0.048923679
3197,5.4,5.344444444,0.01039501
3198,5.4,5.344444444,0.01039501
1513,5.43,5.418888889,0.002050441
1514,5.43,5.418888889,0.002050441
3195,5.43,4.958888889,0.095003361
3196,5.43,4.958888889,0.095003361
3383,5.43,5.645555556,0.03818146
3384,5.43,5.645555556,0.03818146
1413,5.44,5.676666667,0.041691133
1414,5.44,5.676666667,0.041691133
3357,5.44,5.457777778,0.003257329
3358,5.44,5.457777778,0.003257329
3755,5.44,6.011111111,0.095009242
3756,5.44,6.011111111,0.095009242
3757,5.44,6.011111111,0.095009242
3758,5.44,6.011111111,0.095009242
123,5.45,5.804444444,0.061064319
124,5.45,5.804444444,0.061064319
77,5.46,5.41,0.009242144
78,5.46,5.41,0.009242144
2913,5.46,5.41,0.009242144
2914,5.46,5.41,0.009242144
1357,5.47,5.36,0.020522388
1358,5.47,5.36,0.020522388
3003,5.47,5.547777778,0.014019627
3004,5.47,5.547777778,0.014019627
1679,5.48,5.41,0.012939002
1680,5.48,5.41,0.012939002
1211,5.49,5.475555556,0.002637987
1212,5.49,5.475555556,0.002637987
2877,5.49,5.41,0.014787431
2878,5.49,5.41,0.014787431
1817,5.5,5.523333333,0.004224502
1818,5.5,5.523333333,0.004224502
1931,5.5,5.418888889,0.014968218
1932,5.5,5.418888889,0.014968218
3983,5.5,6.016666667,0.085872576
3984,5.5,6.016666667,0.085872576
155,5.51,5.627777778,0.020927937
156,5.51,5.627777778,0.020927937
1531,5.51,5.683333333,0.030498534
1532,5.51,5.683333333,0.030498534
1725,5.51,5.391111111,0.022052762
1726,5.51,5.391111111,0.022052762
3101,5.51,5.981111111,0.078766487
3102,5.51,5.981111111,0.078766487
3705,5.51,5.064444444,0.087977183
3706,5.51,5.064444444,0.087977183
521,5.52,5.683333333,0.028739003
522,5.52,5.683333333,0.028739003
1489,5.52,5.683333333,0.028739003
1490,5.52,5.683333333,0.028739003
1365,5.53,5.644444444,0.020275591
1366,5.53,5.644444444,0.020275591
3001,5.53,5.533333333,0.00060241
3002,5.53,5.533333333,0.00060241
3515,5.53,5.77,0.041594454
3516,5.53,5.77,0.041594454
295,5.54,5.97,0.072026801
296,5.54,5.97,0.072026801
929,5.54,5.404444444,0.025082237
930,5.54,5.404444444,0.025082237
1823,5.54,5.667777778,0.022544599
1824,5.54,5.667777778,0.022544599
2697,5.54,5.725555556,0.032408306
2698,5.54,5.725555556,0.032408306
2931,5.54,5.508888889,0.005647438
2932,5.54,5.508888889,0.005647438
1799,5.55,5.31,0.04519774
1800,5.55,5.31,0.04519774
447,5.56,5.59,0.005366726
448,5.56,5.59,0.005366726
523,5.56,5.683333333,0.02170088
524,5.56,5.683333333,0.02170088
717,5.56,5.487777778,0.013160559
718,5.56,5.487777778,0.013160559
1363,5.56,5.644444444,0.01496063
1364,5.56,5.644444444,0.01496063
1453,5.56,5.695555556,0.023800234
1454,5.56,5.695555556,0.023800234
921,5.57,5.663333333,0.016480283
922,5.57,5.663333333,0.016480283
1069,5.57,5.752222222,0.031678578
1070,5.57,5.752222222,0.031678578
3823,5.57,5.68,0.019366197
3824,5.57,5.68,0.019366197
4001,5.57,5.476666667,0.017041996
4002,5.57,5.476666667,0.017041996
195,5.58,5.884444444,0.05173716
196,5.58,5.884444444,0.05173716
2059,5.58,5.618888889,0.006921099
2060,5.58,5.618888889,0.006921099
2755,5.58,5.636666667,0.010053223
2756,5.58,5.636666667,0.010053223
387,5.59,5.703333333,0.01987142
388,5.59,5.703333333,0.01987142
2927,5.59,5.69,0.017574692
2928,5.59,5.69,0.017574692
3415,5.59,5.97,0.063651591
3416,5.59,5.97,0.063651591
481,5.6,5.678888889,0.013891606
482,5.6,5.678888889,0.013891606
1107,5.6,5.791111111,0.033000767
1108,5.6,5.791111111,0.033000767
3299,5.6,5.791111111,0.033000767
3300,5.6,5.791111111,0.033000767
3395,5.6,5.554444444,0.00820164
3396,5.6,5.554444444,0.00820164
2883,5.61,5.684444444,0.013096169
2884,5.61,5.684444444,0.013096169
2917,5.61,6.132222222,0.085160355
2918,5.61,6.132222222,0.085160355
1229,5.62,5.874444444,0.043313789
1230,5.62,5.874444444,0.043313789
1355,5.62,5.811111111,0.032887189
1356,5.62,5.811111111,0.032887189
1209,5.63,5.534444444,0.017265609
1210,5.63,5.534444444,0.017265609
1217,5.63,5.798888889,0.029124353
1218,5.63,5.798888889,0.029124353
3091,5.63,5.543333333,0.015634396
3092,5.63,5.543333333,0.015634396
3875,5.63,5.898888889,0.045582972
3876,5.63,5.898888889,0.045582972
819,5.64,5.737777778,0.017041053
820,5.64,5.737777778,0.017041053
2587,5.64,5.77,0.022530329
2588,5.64,5.77,0.022530329
3797,5.64,5.644444444,0.000787402
3798,5.64,5.644444444,0.000787402
3959,5.64,5.772222222,0.022906641
3960,5.64,5.772222222,0.022906641
305,5.65,5.863333333,0.036384309
306,5.65,5.863333333,0.036384309
1183,5.65,5.37,0.052141527
1184,5.65,5.37,0.052141527
955,5.66,5.774444444,0.019819126
956,5.66,5.774444444,0.019819126
957,5.66,5.774444444,0.019819126
958,5.66,5.774444444,0.019819126
1161,5.66,5.681111111,0.003716018
1162,5.66,5.681111111,0.003716018
1193,5.66,5.642222222,0.003150847
1194,5.66,5.642222222,0.003150847
1563,5.66,5.797777778,0.023763894
1564,5.66,5.797777778,0.023763894
1569,5.66,5.785555556,0.021701556
1570,5.66,5.785555556,0.021701556
2881,5.66,5.534444444,0.022686208
2882,5.66,5.534444444,0.022686208
3815,5.66,5.617777778,0.007515823
3816,5.66,5.617777778,0.007515823
1379,5.67,6.104444444,0.071168548
1380,5.67,6.104444444,0.071168548
1395,5.67,5.391111111,0.051731245
1396,5.67,5.391111111,0.051731245
1479,5.67,5.62,0.008896797
1480,5.67,5.62,0.008896797
1673,5.67,5.698888889,0.005069214
1674,5.67,5.698888889,0.005069214
3309,5.67,5.594444444,0.013505462
3310,5.67,5.594444444,0.013505462
3403,5.67,5.897777778,0.03862095
3404,5.67,5.897777778,0.03862095
3993,5.67,5.674444444,0.000783239
3994,5.67,5.674444444,0.000783239
3111,5.68,5.713333333,0.005834306
3112,5.68,5.713333333,0.005834306
3333,5.68,5.765555556,0.014839083
3334,5.68,5.765555556,0.014839083
3785,5.68,5.851111111,0.029244208
3786,5.68,5.851111111,0.029244208
4033,5.68,5.778888889,0.017112094
4034,5.68,5.778888889,0.017112094
313,5.69,6.03,0.056384743
314,5.69,6.03,0.056384743
1611,5.69,5.634444444,0.009859988
1612,5.69,5.634444444,0.009859988
2819,5.69,5.681111111,0.001564639
2820,5.69,5.681111111,0.001564639
3217,5.69,5.63,0.010657194
3218,5.69,5.63,0.010657194
3453,5.69,5.808888889,0.020466718
3454,5.69,5.808888889,0.020466718
3765,5.69,5.724444444,0.006017081
3766,5.69,5.724444444,0.006017081
719,5.7,5.626666667,0.013033175
720,5.7,5.626666667,0.013033175
1469,5.7,6.04,0.056291391
1470,5.7,6.04,0.056291391
1987,5.7,5.646666667,0.0094451
1988,5.7,5.646666667,0.0094451
2753,5.7,5.673333333,0.004700353
2754,5.7,5.673333333,0.004700353
1227,5.71,6.216666667,0.08150134
1228,5.71,6.216666667,0.08150134
1701,5.71,5.665555556,0.007844675
1702,5.71,5.665555556,0.007844675
1753,5.71,5.907777778,0.033477525
1754,5.71,5.907777778,0.033477525
1995,5.71,5.75,0.006956522
1996,5.71,5.75,0.006956522
221,5.72,5.723333333,0.000582411
222,5.72,5.723333333,0.000582411
1539,5.72,5.753333333,0.005793743
1540,5.72,5.753333333,0.005793743
1557,5.72,5.594444444,0.0224429
